gene_id,gene_symbol,means,variances,variances_norm,highly_variable_rank
ENSG00000203710.12,CR1,0.3506454816285998,0.7812961370910135,1.4422578296434887,1671.0
ENSG00000271917.1,ENSG00000271917.1,0.0006951340615690168,0.001290608209511274,1.5271751598324745,1364.0
ENSG00000185630.20,PBX1,0.011320754716981131,0.05648122295781748,3.5680063562240276,211.0
ENSG00000186827.12,TNFRSF4,0.129493545183714,0.47304999673060255,2.6271925754563727,389.0
ENSG00000162599.18,NFIA,0.2323733862959285,0.5530088664283968,1.642389076223807,1121.0
ENSG00000198821.12,CD247,1.2312810327706059,5.261927348761273,1.8134210858667337,865.0
ENSG00000272482.2,ENSG00000272482.2,0.0009930486593843098,0.001985308323905667,1.8144050978306006,863.0
ENSG00000289962.1,ENSG00000289962.1,0.004766633565044687,0.009908749785368742,1.737523314265583,945.0
ENSG00000237520.2,LINC02971,0.0009930486593843098,0.001588049410408795,1.4513438095016558,1610.0
ENSG00000234184.8,LINC01781,0.10893743793445879,0.6772763562008045,4.504247314632604,143.0
ENSG00000143375.15,CGN,0.0010923535253227407,0.001687157027631488,1.3949041454566002,1961.0
ENSG00000162614.19,NEXN,0.19920556107249254,0.4171609538671745,1.4692071526019705,1545.0
ENSG00000273338.1,ENSG00000273338.1,0.8746772591857,3.6360952131385793,2.057479710001134,649.0
ENSG00000134201.12,GSTM5,0.0015888778550148957,0.002579658154168216,1.4424592383722674,1669.0
ENSG00000158473.8,CD1D,0.5974180734856008,1.6347137620330348,1.550931484396557,1294.0
ENSG00000290109.1,ENSG00000290109.1,0.18570009930486595,0.3834284252954515,1.4557396566255196,1595.0
ENSG00000265141.2,RN7SL451P,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1721.0
ENSG00000290592.1,ENSG00000290592.1,0.029394240317775572,0.12089574981288495,3.089577502962304,273.0
ENSG00000291135.1,ENSG00000291135.1,0.5236345580933466,1.4603113492078443,1.6421009159325435,1122.0
ENSG00000261025.1,ENSG00000261025.1,0.0011916583912611719,0.0031766511172216572,2.198474636937576,559.0
ENSG00000274428.1,RNVU1-25,0.1266137040714995,0.5078525699978985,2.8872919520883897,323.0
ENSG00000227070.2,EPS15-AS1,0.0010923535253227407,0.001687157027631488,1.3949041454566002,1974.0
ENSG00000117724.15,CENPF,0.05968222442899702,0.8309793408598842,6.405117319234384,72.0
ENSG00000135750.15,KCNK1,0.002284011916583913,0.003868057178063221,1.4833490511163898,1499.0
ENSG00000134690.11,CDCA8,0.008838133068520358,0.024452617554563683,2.208974981678765,552.0
ENSG00000133069.17,TMCC2,0.004170804369414101,0.009914075500693675,2.006129176020592,688.0
ENSG00000162772.18,ATF3,0.30208540218470703,0.7010682497322596,1.5429920458497581,1325.0
ENSG00000162771.8,GARIN4,0.0009930486593843098,0.001985308323905667,1.8144050978306006,861.0
ENSG00000123685.9,BATF3,0.22512413108242305,0.8235816461253498,2.5339760883752,415.0
ENSG00000160789.24,LMNA,0.4764647467725919,4.459422201309476,5.652940171515326,98.0
ENSG00000119535.20,CSF3R,1.6605759682224428,8.380161749864369,1.8326041545721095,840.0
ENSG00000290123.1,ENSG00000290123.1,0.0018867924528301887,0.003075196240281679,1.438964184674661,1674.0
ENSG00000293403.1,ENSG00000293403.1,0.0004965243296921549,0.0008935859944732885,1.6925670853024861,1021.0
ENSG00000293455.1,ENSG00000293455.1,0.0394240317775571,0.09547608097967127,1.8050772834148934,872.0
ENSG00000293517.1,ENSG00000293517.1,0.0009930486593843098,0.001985308323905667,1.8144050978306006,859.0
ENSG00000162512.16,SDC3,0.05650446871896723,0.11747432290186789,1.5346507379679168,1332.0
ENSG00000196139.14,AKR1C3,0.07636544190665343,0.22686214869140767,2.1749445301654,570.0
ENSG00000067082.15,KLF6,7.6722939424031775,82.98486145694017,1.580485565066185,1227.0
ENSG00000260314.3,MRC1,0.04687189672293943,0.5460201077313311,5.87538783173806,89.0
ENSG00000148488.17,ST8SIA6,0.017676266137040715,0.038817521563969296,1.6811568566491482,1058.0
ENSG00000095777.17,MYO3A,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1792.0
ENSG00000151023.17,ENKUR,0.004369414101290963,0.012494562099467992,2.4053483219242957,451.0
ENSG00000099250.18,NRP1,0.030784508440913606,0.07055882435031452,1.71916966936933,986.0
ENSG00000120594.17,PLXDC2,0.7946375372393247,2.4841901307985825,1.607065544643042,1185.0
ENSG00000122952.17,ZWINT,0.0323733862959285,0.15447872440833524,3.5733751532180857,210.0
ENSG00000122378.14,PRXL2A,0.08252234359483615,0.1684798820610479,1.4916049120899337,1483.0
ENSG00000138119.17,MYOF,0.44796425024826214,1.1280398517360304,1.5444832495095202,1320.0
ENSG00000107551.21,RASSF4,0.6462760675273088,1.780120702406622,1.5234142584373516,1373.0
ENSG00000155629.15,PIK3AP1,0.8266137040714995,2.376925963582167,1.4557357195866694,1596.0
ENSG00000166033.13,HTRA1,0.003972194637537239,0.00653899217543932,1.3940320076119654,1981.0
ENSG00000165646.14,SLC18A2,0.0068520357497517375,0.01296327436024105,1.540225498185416,1327.0
ENSG00000187164.20,SHTN1,0.3662363455809335,0.963285366719388,1.6875126188717842,1047.0
ENSG00000182010.11,RTKN2,0.08123138033763655,0.36722144511707355,3.3043144150155737,244.0
ENSG00000288011.1,ENSG00000288011.1,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1793.0
ENSG00000283141.1,LINC02666,0.0012909632571996028,0.003474348741449638,1.6887193785533061,1044.0
ENSG00000287235.1,ENSG00000287235.1,0.0012909632571996028,0.0020839425442105877,1.4455065255214776,1640.0
ENSG00000138180.16,CEP55,0.010625620655412116,0.0363355902860136,2.694814258939421,370.0
ENSG00000138166.6,DUSP5,0.26991062562065543,0.7226519932032037,1.8124438872103579,867.0
ENSG00000122862.5,SRGN,10.950347567030784,185.73057640118336,1.9527848445026887,731.0
ENSG00000138160.7,KIF11,0.01737835153922542,0.053625860411226106,2.364088946252615,466.0
ENSG00000185745.10,IFIT1,0.6278053624627606,3.1253366271238883,2.7788475889388735,350.0
ENSG00000168209.6,DDIT4,0.5065541211519364,1.213136103684971,1.4231299096336638,1852.0
ENSG00000107736.22,CDH23,0.19245283018867926,0.3868334904254981,1.413835209831958,1889.0
ENSG00000138185.20,ENTPD1,0.5669314796425025,1.3767393169848996,1.397956264848464,1951.0
ENSG00000107798.18,LIPA,0.9016881827209533,3.01466593513693,1.634185275042417,1136.0
ENSG00000119917.15,IFIT3,1.3514399205561072,10.144329538300918,3.039130416200879,289.0
ENSG00000150347.17,ARID5B,0.543992055610725,1.340352718180996,1.4353392337788864,1820.0
