gene_id,gene_symbol,means,dispersions,dispersions_norm
ENSG00000243772.8,KIR2DL3,0.04554905882623829,1.0601659105470578,2.445763
ENSG00000125498.20,KIR2DL1,0.01724568014421958,0.8859587223769203,1.9302257
ENSG00000240403.5,KIR3DL2,0.03262021016961057,1.0197134264536107,2.3260508
ENSG00000186326.4,RGS9BP,0.001439257782908948,0.873012864152001,1.8919146
ENSG00000197766.9,CFD,1.2601423576905602,1.9743326531087262,1.4494292
ENSG00000189430.13,NCR1,0.04840320765532353,0.9399067629097996,2.089876
ENSG00000267265.6,GP6-AS1,0.17448038288789242,0.7317922838037098,1.4739957
ENSG00000189013.16,KIR2DL4,0.00955324656967527,1.4260596853292837,3.5285652
ENSG00000268536.2,ENSG00000268536.2,0.00185434800210496,0.7510181519740257,1.5308914
ENSG00000289378.1,ENSG00000289378.1,0.001598854528937692,0.8730495166409546,1.8920231
ENSG00000105369.10,CD79A,1.0041473874649347,2.855044305925412,4.480024
ENSG00000171051.10,FPR1,0.7224565628815357,1.2627023603380312,1.2822777
ENSG00000167807.15,ENSG00000167807.15,0.001774263076919605,0.6933825166714814,1.3603283
ENSG00000105499.14,PLA2G4C,0.007453999066968743,0.7438374362256157,1.5096413
ENSG00000267858.8,MZF1-AS1,0.21928382932546936,0.6952401846667379,1.3658258
ENSG00000253392.4,ENSG00000253392.4,0.007187928590522971,0.7962428785222379,1.6647266
ENSG00000286125.3,ENSG00000286125.3,0.013529449270432703,0.7262289915067359,1.457532
ENSG00000261824.8,LINC00662,0.21501762756321752,0.8279991019262518,1.7587038
ENSG00000130158.14,DOCK6,0.0044245956485433205,0.7666080100521113,1.5770271
ENSG00000269102.1,ENSG00000269102.1,0.0005038830087011252,0.6906367966563315,1.3522029
ENSG00000269834.8,ZNF528-AS1,0.046337315204242495,0.6533932281024101,1.2419866
ENSG00000221957.8,KIR2DS4,0.014389583994382314,1.0917539176811548,2.5392425
ENSG00000287001.3,ENSG00000287001.3,0.005151591488080568,1.0107579937345272,2.2995486
ENSG00000291114.1,ENSG00000291114.1,0.04297955937289879,0.8382321370276907,1.7889868
ENSG00000267353.1,ENSG00000267353.1,0.0036781233912402743,0.7993584727664812,1.6739466
ENSG00000267345.2,ENSG00000267345.2,0.001490314758430909,0.7402723602050917,1.499091
ENSG00000105426.19,PTPRS,0.06990297862720676,1.7430782530617455,4.466729
ENSG00000291230.1,ENSG00000291230.1,0.44286970642667106,0.9470266869458592,1.490954
ENSG00000270164.3,LINC01480,0.024110886319455096,0.6796115304608673,1.3195754
ENSG00000159871.15,LYPD5,0.003796894653646801,0.7055287865957887,1.3962733
ENSG00000105048.18,TNNT1,0.021516782027945977,0.6520741843338265,1.2380831
ENSG00000161243.10,FBXO27,0.004370009132513427,0.7697473300562983,1.5863174
ENSG00000141946.1,ZIM3,0.0015630419184040878,0.6650811767154999,1.2765752
ENSG00000105146.14,AURKC,0.0034483642737052718,0.8617190948604141,1.8584926
ENSG00000181143.17,MUC16,0.0005361755112482554,0.8037415636621642,1.6869177
ENSG00000167633.18,KIR3DL1,0.03795555150861144,1.0773137166180349,2.496509
ENSG00000267519.6,MIR23AHG,1.464238846160606,2.1815763126338696,1.7277883
ENSG00000235665.6,LINC00298,0.0012229448293126668,0.7417097235016763,1.5033447
ENSG00000287119.1,ENSG00000287119.1,0.0013162274797988024,0.729487125846855,1.4671739
ENSG00000163029.16,SMC6,0.2203451397123884,0.6579042110504769,1.2553362
