"gene_id","gene_symbol","mean","variance","variance.expected","variance.standardized"
"ENSG00000267011.5","ENSG00000267011.5",0.0204568023833168,0.136437173374619,0.02688431405099,5.07497320243492
"ENSG00000243466.1","IGKV1-5",0.0285004965243297,1.87454765691703,0.0379036024176424,5.0701414597773
"ENSG00000142089.17","IFITM3",6.58917576961271,206.077407901367,40.8513059384143,5.04457331699624
"ENSG00000159189.13","C1QC",0.0141012909632572,0.24649891912635,0.0182093682668073,4.98140605432985
"ENSG00000173457.11","PPP1R14B",0.992154915590864,10.526803082563,2.11439859722084,4.97862753806198
"ENSG00000163221.9","S100A12",4.70019860973188,117.029685132857,23.5581016006209,4.96770440661385
"ENSG00000166927.13","MS4A7",1.70705064548163,23.6569470060754,4.77101361200353,4.95847401201205
"ENSG00000133328.4","PLAAT2",0.017974180734856,0.139214090106961,0.0234959972263947,4.93895991244519
"ENSG00000145649.8","GZMA",1.77090367428004,24.6962433982088,5.04852165906175,4.8917772500551
"ENSG00000169704.5","GP9",0.0130089374379345,0.177306170344188,0.0167195997473854,4.81321527073592
"ENSG00000134539.17","KLRD1",0.717775571002979,6.46279850757676,1.34468442290687,4.80618232611475
"ENSG00000289364.2","ENSG00000289364.2",0.00695134061569017,0.0798007156775153,0.00854774287891225,4.8025063923461
"ENSG00000293515.1","ENSG00000293515.1",0.0350546176762661,0.261458508288835,0.0469084657926708,4.79763607457928
"ENSG00000235162.9","C12orf75",0.688381330685204,6.09595199281832,1.27095798829916,4.79634421353007
"ENSG00000138778.14","CENPE",0.036643495531281,0.232543306202101,0.0490838727867698,4.73767233511333
"ENSG00000277632.2","CCL3",0.58103277060576,4.81372303696354,1.01662370909897,4.73500961455045
"ENSG00000269404.7","SPIB",0.31390268123138,2.24339593054203,0.475206938696679,4.72088209969078
"ENSG00000185507.21","IRF7",1.56832174776564,19.7688444371376,4.18893886776058,4.71929647608018
"ENSG00000101439.9","CST3",20.2452830188679,1267.76761852654,272.13835088754,4.65854082819224
"ENSG00000019582.17","CD74",31.9558093346574,2813.17641624335,606.754105912342,4.6364357304404
"ENSG00000100526.21","CDKN3",0.0288977159880834,0.177633405963598,0.0384485302012232,4.6200311178071
"ENSG00000288758.2","ENSG00000288758.2",0.00883813306852036,0.104500288624183,0.0110696670434814,4.59798811128884
"ENSG00000143185.4","XCL2",0.206653426017875,1.35653532828054,0.295513752756307,4.59043044740868
"ENSG00000275743.1","TRBV14",0.0174776564051639,0.102981818698251,0.0228189402218254,4.51299743533896
"ENSG00000123416.15","TUBA1B",4.2408142999007,89.9065473555194,19.9591040331167,4.50453824011066
"ENSG00000234184.8","LINC01781",0.108937437934459,0.677276356200803,0.150363936278675,4.50424731463256
"ENSG00000166091.21","CMTM5",0.00903674280039722,0.0975447071611047,0.0113359149346375,4.50420021585569
"ENSG00000182853.12","VMO1",0.0305858987090367,0.195111683702216,0.0407688546742822,4.50065952457553
"ENSG00000109684.16","CLNK",0.0156901688182721,0.11098628993214,0.0203796614173698,4.4997994945556
"ENSG00000118292.9","C1orf54",0.0605759682224429,0.368164530676761,0.0822261510768405,4.47746277620011
